"Legacy ID","Issue Type","Summary","Description","Parent (Epic Key)","Story Points","Priority","Legacy Epic Ref"
"S-001","Story","Design schema and create baseline migrations","Create core tables: scholarship, source, scrape_run, user_profile, match_score, notification_event. Add indexes for deadlines, country, and status.","","3","Highest","E-001"
"S-002","Story","Build source adapter base and retry strategy","Implement a reusable adapter contract with fetch parse validate map lifecycle, plus retry backoff with jitter.","","5","Highest","E-001"
"S-003","Story","Implement source adapter for source #1","Connect first scholarship source, parse records, and store canonical fields.","","5","Highest","E-001"
"S-004","Story","Implement source adapter for source #2","Connect second source and ensure records are normalized with same quality rules.","","5","High","E-001"
"S-005","Story","Implement deduplication and canonicalization pipeline","Prevent duplicate scholarships and normalize inconsistent values across sources.","","5","Highest","E-001"
"S-006","Story","Build Telegram onboarding flow","Implement /start and collect profile preferences with validation.","","5","Highest","E-002"
"S-007","Story","Add profile management commands","Enable profile review, updates, and notification pause or resume.","","3","High","E-002"
"S-008","Story","Build weighted matching engine v1","Rank opportunities by profile fit and store explanation reasons.","","8","Highest","E-003"
"S-009","Story","Implement notification dispatcher","Deliver digest and urgent notifications from ranked matches.","","5","Highest","E-003"
"S-010","Story","Add idempotency and anti-spam controls","Prevent duplicate and excessive sends with seen-item and cooldown logic.","","3","High","E-003"
"S-011","Story","Automate scheduled jobs and run history","Schedule scrape match notify workflows and keep run history.","","5","Highest","E-004"
"S-012","Story","Implement observability baseline","Add structured logs metrics and alert thresholds for critical failures.","","3","High","E-004"
"S-013","Story","Expand automated test coverage","Increase confidence with unit and integration tests across core flows.","","8","High","E-004"
"S-014","Story","Complete security and secrets hardening","Ensure env token handling and rotation process are production-safe.","","2","High","E-004"
"S-015","Story","Create launch and rollback runbook","Document release process validation gates and recovery path.","","3","High","E-004"
