"Legacy ID","Issue Type","Summary","Description","Parent (Story Key)","Priority","Legacy Parent Ref"
"ST-001","Sub-task","Create schema migration script","Add initial SQL migration and ensure rollback path exists.","","Highest","S-001"
"ST-002","Sub-task","Add integrity constraints and indexes","Enforce required fields and add indexes for query performance.","","High","S-001"
"ST-003","Sub-task","Document schema contract","Write table and field contract notes for future iteration.","","Medium","S-001"
"ST-004","Sub-task","Define adapter interface","Define common methods and typed payload for all future sources.","","High","S-002"
"ST-005","Sub-task","Implement retry backoff utility","Handle transient failures with bounded retries and delay strategy.","","High","S-002"
"ST-006","Sub-task","Add source run logging","Log source run id, counts, duration, and failure reasons.","","Medium","S-002"
"ST-007","Sub-task","Build source fetcher","Add source-specific fetch logic with pagination support.","","High","S-003"
"ST-008","Sub-task","Map parsed records to canonical model","Map title provider country amount deadline url and eligibility fields.","","High","S-003"
"ST-009","Sub-task","Add parser tests for source #1","Cover malformed input and missing field edge cases.","","Medium","S-003"
"ST-010","Sub-task","Build source #2 fetcher","Implement retrieval strategy for secondary source.","","High","S-004"
"ST-011","Sub-task","Implement parser and mapping for source #2","Map fields to canonical schema and validate quality.","","High","S-004"
"ST-012","Sub-task","Add parser tests for source #2","Add tests for typical and edge record formats.","","Medium","S-004"
"ST-013","Sub-task","Define dedup key strategy","Use title provider deadline country and normalized url hash.","","High","S-005"
"ST-014","Sub-task","Build canonicalization module","Normalize date amount provider naming and country values.","","High","S-005"
"ST-015","Sub-task","Implement merge and lineage rules","Merge duplicate entries while preserving source metadata.","","Medium","S-005"
"ST-016","Sub-task","Create /start first-run wizard","Prompt for country study level field and budget preference.","","High","S-006"
"ST-017","Sub-task","Persist user profile","Store and update profile values in user_profile.","","High","S-006"
"ST-018","Sub-task","Add input validation and safe defaults","Reject invalid entries and apply safe fallback behavior.","","Medium","S-006"
"ST-019","Sub-task","Implement /profile command","Show current profile and preference summary.","","Medium","S-007"
"ST-020","Sub-task","Implement /set command handlers","Allow updates to country level field and budget.","","High","S-007"
"ST-021","Sub-task","Implement /pause and /resume","Pause and restore notification delivery state.","","Medium","S-007"
"ST-022","Sub-task","Define scoring rules and weights","Create scoring model by eligibility deadline location and field fit.","","High","S-008"
"ST-023","Sub-task","Implement ranking pipeline","Compute candidate rankings and persist top matches per user.","","Highest","S-008"
"ST-024","Sub-task","Store explainability metadata","Save why each opportunity matched for transparency.","","Medium","S-008"
"ST-025","Sub-task","Build daily digest sender","Bundle top opportunities and send scheduled digest.","","High","S-009"
"ST-026","Sub-task","Build urgent alert sender","Send high-score or deadline-critical alerts.","","High","S-009"
"ST-027","Sub-task","Track send outcomes","Store sent failed retried states for every message.","","Medium","S-009"
"ST-028","Sub-task","Implement seen-item tracking","Avoid sending already delivered scholarships.","","High","S-010"
"ST-029","Sub-task","Implement cooldown policy","Limit frequency of alerts and digests by user.","","High","S-010"
"ST-030","Sub-task","Use idempotent dispatch keys","Protect against retry duplication in message pipeline.","","Medium","S-010"
"ST-031","Sub-task","Schedule scraping cadence","Run ingestion at fixed intervals with source-level control.","","High","S-011"
"ST-032","Sub-task","Schedule matching and notify cadence","Run ranking and dispatch jobs on predictable schedule.","","High","S-011"
"ST-033","Sub-task","Persist run logs","Store status duration counts and error details for each run.","","Medium","S-011"
"ST-034","Sub-task","Standardize structured logging","Adopt consistent log schema and severity levels.","","Medium","S-012"
"ST-035","Sub-task","Add core metrics counters","Track ingestion success match volume send failures and retries.","","Medium","S-012"
"ST-036","Sub-task","Set failure alerts","Configure alerts for repeated errors and stuck jobs.","","High","S-012"
"ST-037","Sub-task","Add adapter unit tests","Test parsing mapping validation and retry behavior.","","Medium","S-013"
"ST-038","Sub-task","Add bot command tests","Test onboarding profile edits and pause resume.","","Medium","S-013"
"ST-039","Sub-task","Add end-to-end integration tests","Validate ingest to match to notify flow.","","High","S-013"
"ST-040","Sub-task","Audit secret handling","Confirm no tokens are logged or committed.","","High","S-014"
"ST-041","Sub-task","Create token rotation checklist","Define rotate verify and rollback sequence for secrets.","","Medium","S-014"
"ST-042","Sub-task","Write release checklist","Preflight checks deploy steps and post-deploy checks.","","Medium","S-015"
"ST-043","Sub-task","Write rollback checklist","Step-by-step rollback with data safety notes.","","High","S-015"
"ST-044","Sub-task","Run staging smoke test and signoff","Execute smoke test and log go or no-go result.","","High","S-015"
